,start_time,end_time,start_frame,end_frame
132,00:10:30.700,00:10:31.200,18921,18936
133,00:10:31.200,00:10:32.300,18936,18969
134,00:10:32.300,00:10:34.400,18969,19032
135,00:10:34.400,00:10:35.267,19032,19058
136,00:10:35.267,00:11:19.800,19058,20394
137,00:11:19.800,00:15:01.033,20394,27031
138,00:15:01.033,00:15:49.967,27031,28499
139,00:15:49.967,00:15:50.467,28499,28514
140,00:15:50.467,00:15:55.000,28514,28650
141,00:15:55.000,00:15:55.500,28650,28665
142,00:15:55.500,00:15:56.000,28665,28680
143,00:15:56.000,00:15:56.500,28680,28695
144,00:15:56.500,00:16:44.633,28695,30139
145,00:16:44.633,00:17:11.867,30139,30956
146,00:17:11.867,00:17:21.133,30956,31234
147,00:17:21.133,00:17:52.900,31234,32187
148,00:17:52.900,00:18:15.233,32187,32857
149,00:18:15.233,00:18:19.167,32857,32975
150,00:18:19.167,00:18:19.733,32975,32992
151,00:18:19.733,00:18:21.267,32992,33038
152,00:18:21.267,00:18:23.567,33038,33107
153,00:18:23.567,00:18:24.133,33107,33124
154,00:18:24.133,00:18:24.867,33124,33146
155,00:18:24.867,00:18:27.000,33146,33210
156,00:18:27.000,00:18:28.800,33210,33264
157,00:18:28.800,00:18:30.033,33264,33301
158,00:18:30.033,00:18:30.533,33301,33316
159,00:18:30.533,00:18:31.033,33316,33331
160,00:18:31.033,00:18:31.700,33331,33351
161,00:18:31.700,00:18:32.267,33351,33368
162,00:18:32.267,00:18:32.767,33368,33383
163,00:18:32.767,00:18:33.267,33383,33398
164,00:18:33.267,00:18:33.833,33398,33415
165,00:18:33.833,00:18:34.400,33415,33432
166,00:18:34.400,00:18:35.067,33432,33452
167,00:18:35.067,00:18:35.900,33452,33477
168,00:18:35.900,00:18:36.433,33477,33493
169,00:18:36.433,00:18:37.100,33493,33513
170,00:18:37.100,00:18:37.633,33513,33529
171,00:18:37.633,00:18:38.267,33529,33548
172,00:18:38.267,00:18:38.867,33548,33566
173,00:18:38.867,00:18:39.500,33566,33585
174,00:18:39.500,00:18:40.633,33585,33619
175,00:18:40.633,00:18:41.600,33619,33648
176,00:18:41.600,00:18:42.200,33648,33666
177,00:18:42.200,00:18:42.967,33666,33689
178,00:18:42.967,00:18:43.667,33689,33710
179,00:18:43.667,00:18:44.533,33710,33736
180,00:18:44.533,00:18:45.267,33736,33758
181,00:18:45.267,00:18:45.933,33758,33778
182,00:18:45.933,00:18:46.933,33778,33808
183,00:18:46.933,00:18:47.500,33808,33825
184,00:18:47.500,00:18:48.067,33825,33842
185,00:18:48.067,00:18:48.633,33842,33859
186,00:18:48.633,00:18:49.133,33859,33874
187,00:18:49.133,00:18:49.633,33874,33889
188,00:18:49.633,00:18:50.233,33889,33907
189,00:18:50.233,00:18:50.733,33907,33922
190,00:18:50.733,00:18:51.233,33922,33937
191,00:18:51.233,00:18:51.733,33937,33952
192,00:18:51.733,00:18:52.267,33952,33968
193,00:18:52.267,00:18:52.767,33968,33983
194,00:18:52.767,00:18:53.267,33983,33998
195,00:18:53.267,00:18:53.767,33998,34013
196,00:18:53.767,00:18:54.267,34013,34028
197,00:18:54.267,00:18:54.800,34028,34044
198,00:18:54.800,00:18:55.300,34044,34059
199,00:18:55.300,00:18:55.800,34059,34074
200,00:18:55.800,00:18:56.300,34074,34089
201,00:18:56.300,00:18:56.933,34089,34108
202,00:18:56.933,00:18:57.467,34108,34124
203,00:18:57.467,00:18:57.967,34124,34139
204,00:18:57.967,00:18:58.500,34139,34155
205,00:18:58.500,00:18:59.067,34155,34172
206,00:18:59.067,00:18:59.733,34172,34192
207,00:18:59.733,00:19:00.233,34192,34207
208,00:19:00.233,00:19:00.767,34207,34223
209,00:19:00.767,00:19:01.267,34223,34238
210,00:19:01.267,00:19:01.767,34238,34253
211,00:19:01.767,00:19:02.267,34253,34268
212,00:19:02.267,00:19:02.767,34268,34283
213,00:19:02.767,00:19:03.267,34283,34298
214,00:19:03.267,00:19:03.867,34298,34316
215,00:19:03.867,00:19:04.400,34316,34332
216,00:19:04.400,00:19:04.900,34332,34347
217,00:19:04.900,00:19:05.400,34347,34362
218,00:19:05.400,00:19:05.900,34362,34377
219,00:19:05.900,00:19:06.400,34377,34392
220,00:19:06.400,00:19:06.933,34392,34408
221,00:19:06.933,00:19:07.767,34408,34433
222,00:19:07.767,00:19:08.300,34433,34449
223,00:19:08.300,00:19:08.800,34449,34464
224,00:19:08.800,00:19:09.533,34464,34486
225,00:19:09.533,00:19:10.600,34486,34518
226,00:19:10.600,00:19:11.200,34518,34536
227,00:19:11.200,00:19:11.867,34536,34556
228,00:19:11.867,00:19:12.433,34556,34573
229,00:19:12.433,00:19:12.967,34573,34589
230,00:19:12.967,00:19:13.667,34589,34610
231,00:19:13.667,00:19:14.967,34610,34649
232,00:19:14.967,00:19:15.700,34649,34671
233,00:19:15.700,00:19:16.267,34671,34688
234,00:19:16.267,00:19:16.833,34688,34705
235,00:19:16.833,00:19:18.100,34705,34743
236,00:19:18.100,00:19:18.633,34743,34759
237,00:19:18.633,00:19:19.633,34759,34789
238,00:19:19.633,00:19:20.433,34789,34813
239,00:19:20.433,00:19:21.200,34813,34836
240,00:19:21.200,00:19:22.000,34836,34860
241,00:19:22.000,00:19:22.867,34860,34886
242,00:19:22.867,00:19:23.867,34886,34916
243,00:19:23.867,00:19:24.767,34916,34943
244,00:19:24.767,00:19:25.600,34943,34968
245,00:19:25.600,00:19:26.467,34968,34994
246,00:19:26.467,00:19:27.200,34994,35016
247,00:19:27.200,00:19:28.667,35016,35060
248,00:19:28.667,00:19:29.433,35060,35083
249,00:19:29.433,00:19:30.167,35083,35105
250,00:19:30.167,00:19:30.800,35105,35124
251,00:19:30.800,00:19:31.467,35124,35144
252,00:19:31.467,00:19:34.800,35144,35244
253,00:19:34.800,00:19:35.500,35244,35265
254,00:19:35.500,00:19:38.900,35265,35367
255,00:19:38.900,00:19:39.600,35367,35388
256,00:19:39.600,00:19:41.867,35388,35456
257,00:19:41.867,00:19:43.000,35456,35490
258,00:19:43.000,00:19:43.667,35490,35510
259,00:19:43.667,00:19:46.600,35510,35598
260,00:19:46.600,00:19:47.100,35598,35613
261,00:19:47.100,00:19:47.800,35613,35634
262,00:19:47.800,00:19:51.167,35634,35735
263,00:19:51.167,00:19:51.900,35735,35757
264,00:19:51.900,00:19:54.033,35757,35821
265,00:19:54.033,00:19:55.267,35821,35858
266,00:19:55.267,00:19:56.000,35858,35880
267,00:19:56.000,00:19:58.533,35880,35956
268,00:19:58.533,00:19:59.400,35956,35982
269,00:19:59.400,00:20:00.100,35982,36003
270,00:20:00.100,00:20:00.767,36003,36023
271,00:20:00.767,00:20:01.900,36023,36057
272,00:20:01.900,00:20:02.700,36057,36081
273,00:20:02.700,00:20:03.233,36081,36097
274,00:20:03.233,00:20:03.767,36097,36113
275,00:20:03.767,00:20:04.267,36113,36128
276,00:20:04.267,00:20:04.833,36128,36145
277,00:20:04.833,00:20:05.333,36145,36160
