start_time,length,rename_to
0,25,chunked_videos/Ii8tODjU-0g-scene003/split_0.mp4
25,25,chunked_videos/Ii8tODjU-0g-scene003/split_1.mp4
50,25,chunked_videos/Ii8tODjU-0g-scene003/split_2.mp4
75,25,chunked_videos/Ii8tODjU-0g-scene003/split_3.mp4
100,25,chunked_videos/Ii8tODjU-0g-scene003/split_4.mp4
